timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2025/08/22 17:10:32.767, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:10:42.771, 13 %, 0 %, 1144 MiB, 81920 MiB, 65.46 W, 38
2025/08/22 17:10:52.778, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:11:02.782, 10 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:11:12.786, 3 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 38
2025/08/22 17:11:22.790, 2 %, 0 %, 1144 MiB, 81920 MiB, 64.85 W, 38
2025/08/22 17:11:32.794, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:11:42.797, 3 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:11:52.801, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:12:02.805, 12 %, 0 %, 1144 MiB, 81920 MiB, 65.46 W, 38
2025/08/22 17:12:12.809, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:12:22.814, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:12:32.819, 12 %, 0 %, 1144 MiB, 81920 MiB, 64.85 W, 38
2025/08/22 17:12:42.822, 7 %, 0 %, 1144 MiB, 81920 MiB, 66.40 W, 38
2025/08/22 17:12:52.826, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:13:02.829, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:13:12.833, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:13:22.837, 5 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:13:32.840, 1 %, 0 %, 1144 MiB, 81920 MiB, 67.29 W, 38
2025/08/22 17:13:42.845, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:13:52.851, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:14:02.854, 3 %, 0 %, 1144 MiB, 81920 MiB, 68.23 W, 38
2025/08/22 17:14:12.859, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:14:22.864, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:14:32.868, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 38
2025/08/22 17:14:42.873, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:14:52.878, 12 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:15:02.882, 1 %, 0 %, 1144 MiB, 81920 MiB, 66.68 W, 38
2025/08/22 17:15:12.886, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
